img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,mosquito_type
331ad30a-7564-4478-b863-7bc760adf5a1.jpeg,3456,4608,1169,2364,1586,2826,Aedes aegypti
1a46dbfb-104e-466b-88d7-98958d7b1fe9.jpeg,1024,1365,129,231,697,1007,Aedes aegypti
46f34803-f754-457d-bdb7-e581d3332e85.jpeg,1152,2560,198,798,954,1351,Culex quinquefasciatus
5792dd8b-e690-4c3a-b061-a375abaf72e1.jpeg,3072,4080,1104,1030,2458,2911,Aedes albopictus
205731a2-a7b7-413a-ac8d-c0108d720e46.jpeg,3024,4032,131,1420,2146,2814,Culex pipiens
4febb609-7932-4a1f-8d7c-ee124b312bc9.jpeg,768,1024,272,628,374,735,Aedes albopictus
4eec5b78-33f6-473a-92a1-ebe641d1913c.jpeg,1800,4000,727,1561,1005,1757,Aedes aegypti
3fe250e3-6d2f-4a75-b078-f35fdffd6084.jpeg,1024,1024,347,306,623,643,Culex quinquefasciatus
2d61174f-e9ff-46b0-add8-46e66b1840d2.jpeg,1627,2081,672,644,1222,1194,Culex quinquefasciatus
2a03943d-4f1f-4589-b885-119bd979bc10.jpeg,3000,4000,1075,1355,1854,2111,Aedes aegypti
0b84585e-cc61-468c-8d14-8309a73a2ac1.jpeg,3024,4032,949,796,1857,1633,Aedes aegypti
2fa4d91d-debe-47dc-9b2e-f24fad21aabf.jpeg,3000,4000,824,1001,1748,2063,Aedes aegypti
5079b45c-f1e4-4134-aea0-4a880988a5fe.jpeg,1024,1365,370,688,503,841,Aedes albopictus
32f5ca5e-f4b7-47af-8f23-db5a804ed8ed.jpeg,3024,4032,1196,1162,1803,2060,Aedes albopictus
1104015d-f0fa-4a65-b08d-0335d258404b.jpeg,3024,4032,869,1017,2019,2588,Culex quinquefasciatus
2d8bc09c-59ab-4787-a56f-ea6502b74fde.jpeg,2448,3264,546,1233,1487,2302,Culex quinquefasciatus
2ca8db27-d82d-4801-a504-0a4d5de29c63.jpeg,2160,3840,796,1601,1519,2508,Aedes albopictus
2fd57c5f-fe8d-4b91-b209-d540b8fd3492.jpeg,1932,2576,687,1223,1468,1942,Aedes albopictus
1904befe-3d08-4d38-b640-cc4da5201c5e.jpeg,2448,3264,897,1298,1337,1616,Aedes aegypti
01e686e7-ece7-460d-94e8-df2a599fef14.jpeg,1024,1365,255,404,470,638,Aedes aegypti
4633dfdf-2f2c-4834-bd16-ef332a1c5820.jpeg,1024,1365,131,482,536,711,Aedes albopictus
0970f8b3-6f66-4605-adaa-7f5c6bd47f71.jpeg,4032,3024,2249,1253,2464,1589,Aedes albopictus
250fc834-321a-4aec-824a-1bd79a821185.jpeg,2160,2880,677,1623,1016,1995,Culex quinquefasciatus
52c1ed36-36c2-420b-8b0b-8574adde1534.jpeg,3024,4032,1199,1986,1795,2466,Culex quinquefasciatus
2a7d3567-4169-4962-a28d-7cf6e2c481c8.jpeg,3024,4032,931,2208,1050,2335,Culex quinquefasciatus
4b7bd0e4-6b92-471c-819f-7a19a64527ba.jpeg,2448,3264,759,918,1799,1967,Aedes albopictus
1349c79a-524b-476a-8e02-99db53b6fdd4.jpeg,1024,1365,290,511,561,993,Aedes albopictus
22af42dd-15a8-4720-90fb-3fad42c2e141.jpeg,2129,1024,620,299,1191,730,Aedes aegypti
05da328a-a044-4899-b4a9-a02602e31525.jpeg,3024,4032,954,1784,1456,2337,Aedes aegypti
3df75189-19ae-4785-9f9c-abfe57b65e8f.jpeg,768,1024,300,520,395,642,Culex pipiens
081e4b2a-6f6e-46c8-9dc0-65c5372d9eb5.jpeg,5312,3984,2974,1856,3421,2242,Aedes aegypti
2fa796eb-87af-4d04-b8cc-212657e43f1d.jpeg,1816,4032,668,1884,977,2254,Aedes albopictus
4a45fe8d-a7c7-48bb-a6b9-52c913735665.jpeg,1024,1365,479,585,754,853,Aedes albopictus
2502d6e9-f4f2-413f-ab1e-4e4e04a4c18a.jpeg,768,1024,302,540,422,646,Aedes albopictus
1a6303ee-946a-40f5-825b-35e73dbc5957.jpeg,1600,1200,398,259,1512,1011,Aedes albopictus
5085bcc9-5054-4238-8084-0c25f749243c.jpeg,768,1024,146,368,656,907,Aedes albopictus
3b4a1715-45fe-4933-8176-144cf59d3c97.jpeg,750,1334,134,389,529,816,Anopheles gambiae
2d51a7ca-e0cb-494e-9688-52a98a972e64.jpeg,1024,1365,381,330,584,617,Culex quinquefasciatus
4a520c36-43da-4e9e-a829-115954e5eca8.jpeg,1600,719,737,123,1012,364,Aedes albopictus
3a4868e8-b018-4d9c-92a2-5ce4c9a80a12.jpeg,1908,4032,392,1534,1120,2463,Aedes albopictus
0f438ab8-ab3f-4726-9f5c-5c548b4a77e1.jpeg,4608,2592,2292,111,3897,1525,Anopheles gambiae
48b27694-2e44-4f45-b09c-ff4c953c4600.jpeg,2448,3264,1015,1216,1363,1607,Aedes albopictus
0fc6ea99-061b-4ded-8807-fabb0fe1e260.jpeg,1024,1368,46,396,895,960,Culex quinquefasciatus
03bf27ef-4c7c-4061-bed1-a855faafe87c.jpeg,795,749,115,145,682,622,Culex quinquefasciatus
2896b03a-aad7-4f51-844b-9eb66acfa32f.jpeg,2048,1024,861,314,1263,735,Aedes albopictus
0d35ce5f-d723-41ab-b9e5-9ee8c25593ed.jpeg,1249,823,117,235,766,667,Culex quinquefasciatus
14565ada-6425-4c9c-a3d9-71a0dc86d8ba.jpeg,768,1024,375,546,501,676,Aedes albopictus
11d62ccf-c943-403d-a2dc-8213d27adb13.jpeg,5616,2808,872,459,3656,2449,Culex quinquefasciatus
42dd78ba-737b-4b07-8e4e-0ac510a58b05.jpeg,768,1024,163,310,376,616,Culex quinquefasciatus
23465abc-1a7d-4570-bd34-f31258dd16ea.jpeg,1800,4000,19,767,1604,2573,Culex quinquefasciatus
3c8a26fb-4b67-45bd-bfbf-3edb65b4c772.jpeg,1365,1024,664,370,884,569,Culex quinquefasciatus
4b590e8e-9d69-4474-863d-bd3f41e73ee1.jpeg,3840,5120,970,593,3165,3353,Aedes albopictus
4287618a-0bc0-4c66-b973-367cf532b648.jpeg,4608,3456,1333,965,3559,2781,Anopheles gambiae
15d5ab35-5a60-4442-a314-2180fccb9bde.jpeg,768,1024,122,298,472,700,Culex quinquefasciatus
0a8cdf7d-4d19-4579-b25f-414688144bcd.jpeg,3120,4208,1338,2039,1772,2444,Culex quinquefasciatus
47acf7ed-bf44-4be2-a630-81b683c1fe4e.jpeg,1785,1443,573,340,1207,974,Culex quinquefasciatus
51206148-c012-432b-90f1-3e84c9d6bcd0.jpeg,2250,4000,734,1091,2098,2171,Culex quinquefasciatus
21ceaa18-adac-40db-832d-886362bd2bb4.jpeg,3024,4032,1165,1512,1728,2181,Aedes aegypti
2122ca72-d961-4f88-9010-c83bab7b5041.jpeg,768,1024,359,455,493,604,Aedes aegypti
04a95170-0348-43e1-a722-e178370e6812.jpeg,2448,3264,1657,319,2046,914,Culex quinquefasciatus
1d7eaece-2811-4a6e-818e-210f2c0a5473.jpeg,3024,4032,1282,1995,1595,2350,Culex quinquefasciatus
4c59384f-b1fd-4681-bb14-ab42b4faa922.jpeg,893,848,346,244,592,661,Aedes aegypti
3218cb11-a38f-416a-b486-a6ae208cd55b.jpeg,3120,4160,1067,1538,2617,3450,Aedes albopictus
